"","Latitude","Longitude","County","Hour","Season","Pollutant","Sample"
"296",32.631231,-117.059075,"San Diego","13",4,"Ozone",0.611717495987159
"297",32.631231,-117.059075,"San Diego","14",1,"NO2",0.0562921348314607
"298",32.631231,-117.059075,"San Diego","14",1,"Ozone",0.60561797752809
"299",32.631231,-117.059075,"San Diego","14",2,"NO2",0.0194186046511628
"300",32.631231,-117.059075,"San Diego","14",2,"Ozone",0.588961038961039
"301",32.631231,-117.059075,"San Diego","14",3,"NO2",0.0202173913043478
"302",32.631231,-117.059075,"San Diego","14",3,"Ozone",0.574844720496894
"303",32.631231,-117.059075,"San Diego","14",4,"NO2",0.0590217391304348
"304",32.631231,-117.059075,"San Diego","14",4,"Ozone",0.598291925465838
"305",32.631231,-117.059075,"San Diego","15",1,"NO2",0.0614285714285714
"306",32.631231,-117.059075,"San Diego","15",1,"Ozone",0.584772370486656
"307",32.631231,-117.059075,"San Diego","15",2,"NO2",0.0185555555555556
"308",32.631231,-117.059075,"San Diego","15",2,"Ozone",0.574603174603175
"309",32.631231,-117.059075,"San Diego","15",3,"NO2",0.0202173913043478
"310",32.631231,-117.059075,"San Diego","15",3,"Ozone",0.560403726708074
"311",32.631231,-117.059075,"San Diego","15",4,"NO2",0.0672826086956522
"312",32.631231,-117.059075,"San Diego","15",4,"Ozone",0.574223602484472
"313",32.631231,-117.059075,"San Diego","16",1,"NO2",0.0726373626373626
"314",32.631231,-117.059075,"San Diego","16",1,"Ozone",0.558241758241758
"315",32.631231,-117.059075,"San Diego","16",2,"NO2",0.0226373626373626
"316",32.631231,-117.059075,"San Diego","16",2,"Ozone",0.559811616954474
"317",32.631231,-117.059075,"San Diego","16",3,"NO2",0.0219565217391304
"318",32.631231,-117.059075,"San Diego","16",3,"Ozone",0.540527950310559
"319",32.631231,-117.059075,"San Diego","16",4,"NO2",0.0915217391304348
"320",32.631231,-117.059075,"San Diego","16",4,"Ozone",0.518012422360248
"321",32.631231,-117.059075,"San Diego","17",1,"NO2",0.100769230769231
"322",32.631231,-117.059075,"San Diego","17",1,"Ozone",0.497802197802198
"323",32.631231,-117.059075,"San Diego","17",2,"NO2",0.0271428571428571
"324",32.631231,-117.059075,"San Diego","17",2,"Ozone",0.544427001569859
"325",32.631231,-117.059075,"San Diego","17",3,"NO2",0.0255434782608696
"326",32.631231,-117.059075,"San Diego","17",3,"Ozone",0.515993788819876
"327",32.631231,-117.059075,"San Diego","17",4,"NO2",0.125760869565217
"328",32.631231,-117.059075,"San Diego","17",4,"Ozone",0.434937888198758
"329",32.631231,-117.059075,"San Diego","18",1,"NO2",0.139230769230769
"330",32.631231,-117.059075,"San Diego","18",1,"Ozone",0.403296703296703
"331",32.631231,-117.059075,"San Diego","18",2,"NO2",0.0373626373626374
"332",32.631231,-117.059075,"San Diego","18",2,"Ozone",0.518367346938776
"333",32.631231,-117.059075,"San Diego","18",3,"NO2",0.0334782608695652
"334",32.631231,-117.059075,"San Diego","18",3,"Ozone",0.483074534161491
"335",32.631231,-117.059075,"San Diego","18",4,"NO2",0.159347826086957
"336",32.631231,-117.059075,"San Diego","18",4,"Ozone",0.353105590062112
"337",32.631231,-117.059075,"San Diego","19",1,"NO2",0.184175824175824
"338",32.631231,-117.059075,"San Diego","19",1,"Ozone",0.307849293563579
"339",32.631231,-117.059075,"San Diego","19",2,"NO2",0.0440659340659341
"340",32.631231,-117.059075,"San Diego","19",2,"Ozone",0.494348508634223
"341",32.631231,-117.059075,"San Diego","19",3,"NO2",0.0448913043478261
"342",32.631231,-117.059075,"San Diego","19",3,"Ozone",0.443788819875776
"343",32.631231,-117.059075,"San Diego","19",4,"NO2",0.190869565217391
"344",32.631231,-117.059075,"San Diego","19",4,"Ozone",0.279347826086957
"345",32.631231,-117.059075,"San Diego","20",1,"NO2",0.19956043956044
"346",32.631231,-117.059075,"San Diego","20",1,"Ozone",0.254631083202512
"347",32.631231,-117.059075,"San Diego","20",2,"NO2",0.0496703296703297
"348",32.631231,-117.059075,"San Diego","20",2,"Ozone",0.473783359497645
"349",32.631231,-117.059075,"San Diego","20",3,"NO2",0.0509782608695652
"350",32.631231,-117.059075,"San Diego","20",3,"Ozone",0.419565217391304
"351",32.631231,-117.059075,"San Diego","20",4,"NO2",0.194239130434783
"352",32.631231,-117.059075,"San Diego","20",4,"Ozone",0.24860248447205
"353",32.631231,-117.059075,"San Diego","21",1,"NO2",0.205164835164835
"354",32.631231,-117.059075,"San Diego","21",1,"Ozone",0.225902668759812
"355",32.631231,-117.059075,"San Diego","21",2,"NO2",0.0615384615384615
"356",32.631231,-117.059075,"San Diego","21",2,"Ozone",0.43861852433281
"357",32.631231,-117.059075,"San Diego","21",3,"NO2",0.0576086956521739
"358",32.631231,-117.059075,"San Diego","21",3,"Ozone",0.39611801242236
"359",32.631231,-117.059075,"San Diego","21",4,"NO2",0.189347826086957
"360",32.631231,-117.059075,"San Diego","21",4,"Ozone",0.232453416149068
"361",32.631231,-117.059075,"San Diego","22",1,"NO2",0.186153846153846
"362",32.631231,-117.059075,"San Diego","22",1,"Ozone",0.23171114599686
"363",32.631231,-117.059075,"San Diego","22",2,"NO2",0.0664835164835165
"364",32.631231,-117.059075,"San Diego","22",2,"Ozone",0.412558869701727
"365",32.631231,-117.059075,"San Diego","22",3,"NO2",0.0605434782608696
"366",32.631231,-117.059075,"San Diego","22",3,"Ozone",0.378416149068323
