"","Latitude","Longitude","County","Season","Pollutant","Sample"
"545",34.414942,-119.879511,"Santa Barbara",2,"SO2",0.0133333333333333
"546",34.414942,-119.879511,"Santa Barbara",3,"SO2",0.00611947547353084
"547",34.414942,-119.879511,"Santa Barbara",4,"SO2",6.43500643500644e-06
"548",34.418073,-117.285597,"San Bernardino",1,"Ozone",0.452718320454079
"549",34.418073,-117.285597,"San Bernardino",2,"Ozone",0.731117889062278
"550",34.418073,-117.285597,"San Bernardino",3,"Ozone",0.784224779959377
"551",34.418073,-117.285597,"San Bernardino",4,"Ozone",0.434038800705467
"552",34.426126,-117.563939,"San Bernardino",1,"Ozone",0.549449981543005
"553",34.426126,-117.563939,"San Bernardino",2,"Ozone",0.754880833452262
"554",34.426126,-117.563939,"San Bernardino",3,"Ozone",0.817699115044248
"555",34.426126,-117.563939,"San Bernardino",4,"Ozone",0.514387223387697
"556",34.427775,-119.691218,"Santa Barbara",1,"CO",0.00890409734634951
"557",34.427775,-119.691218,"Santa Barbara",1,"NO2",0.101097925711529
"558",34.427775,-119.691218,"Santa Barbara",1,"Ozone",0.350315327666575
"559",34.427775,-119.691218,"Santa Barbara",2,"CO",0.0058184801263129
"560",34.427775,-119.691218,"Santa Barbara",2,"NO2",0.0516014423076923
"561",34.427775,-119.691218,"Santa Barbara",2,"Ozone",0.464309741195854
"562",34.427775,-119.691218,"Santa Barbara",3,"CO",0.00445297760838495
"563",34.427775,-119.691218,"Santa Barbara",3,"NO2",0.0477289766970618
"564",34.427775,-119.691218,"Santa Barbara",3,"Ozone",0.425779498675362
"565",34.427775,-119.691218,"Santa Barbara",4,"CO",0.00778232074438971
"566",34.427775,-119.691218,"Santa Barbara",4,"NO2",0.10470663507109
"567",34.427775,-119.691218,"Santa Barbara",4,"Ozone",0.314190972457197
"568",34.44551,-119.8284,"Santa Barbara",1,"CO",0.00549762370701705
"569",34.44551,-119.8284,"Santa Barbara",1,"NO2",0.0431631057842626
"570",34.44551,-119.8284,"Santa Barbara",1,"Ozone",0.376577830352794
"571",34.44551,-119.8284,"Santa Barbara",2,"CO",0.00195510599972288
"572",34.44551,-119.8284,"Santa Barbara",2,"NO2",0.0135802469135802
"573",34.44551,-119.8284,"Santa Barbara",2,"Ozone",0.456485007963437
"574",34.44551,-119.8284,"Santa Barbara",3,"CO",0.00237455442829723
"575",34.44551,-119.8284,"Santa Barbara",3,"NO2",0.01235
"576",34.44551,-119.8284,"Santa Barbara",3,"Ozone",0.394993484671833
"577",34.44551,-119.8284,"Santa Barbara",4,"CO",0.00839234449760766
"578",34.44551,-119.8284,"Santa Barbara",4,"NO2",0.0467857142857143
"579",34.44551,-119.8284,"Santa Barbara",4,"Ozone",0.318468899521531
"580",34.448048,-119.231321,"Ventura",1,"Ozone",0.332276107126406
"581",34.448048,-119.231321,"Ventura",2,"Ozone",0.466237942122186
"582",34.448048,-119.231321,"Ventura",3,"Ozone",0.450510684047843
"583",34.448048,-119.231321,"Ventura",4,"Ozone",0.320775103519669
"584",34.46245,-120.02551,"Santa Barbara",1,"NO2",0.0254103933948519
"585",34.46245,-120.02551,"Santa Barbara",1,"Ozone",0.502052704576976
"586",34.46245,-120.02551,"Santa Barbara",1,"SO2",0.000763754045307443
"587",34.46245,-120.02551,"Santa Barbara",2,"NO2",0.0212147716229349
"588",34.46245,-120.02551,"Santa Barbara",2,"Ozone",0.469075385256143
"589",34.46245,-120.02551,"Santa Barbara",2,"SO2",0.00414195430238211
"590",34.46245,-120.02551,"Santa Barbara",3,"NO2",0.0263987473903967
"591",34.46245,-120.02551,"Santa Barbara",3,"Ozone",0.422560805143975
"592",34.46245,-120.02551,"Santa Barbara",3,"SO2",9.82800982800983e-05
"593",34.46245,-120.02551,"Santa Barbara",4,"NO2",0.0384243295019157
"594",34.46245,-120.02551,"Santa Barbara",4,"Ozone",0.45956570311409
"595",34.46245,-120.02551,"Santa Barbara",4,"SO2",6.48508430609598e-06
"596",34.48974,-120.04692,"Santa Barbara",1,"CO",0.00343329168402055
"597",34.48974,-120.04692,"Santa Barbara",1,"NO2",0.00362487852283771
"598",34.48974,-120.04692,"Santa Barbara",1,"Ozone",0.579258642232403
"599",34.48974,-120.04692,"Santa Barbara",1,"SO2",0.00461702127659575
"600",34.48974,-120.04692,"Santa Barbara",2,"CO",0.00470319001386963
"601",34.48974,-120.04692,"Santa Barbara",2,"NO2",0.00274167121791371
"602",34.48974,-120.04692,"Santa Barbara",2,"Ozone",0.523701950659782
"603",34.48974,-120.04692,"Santa Barbara",2,"SO2",0.00102564102564103
"604",34.48974,-120.04692,"Santa Barbara",3,"CO",0.00274549098196393
"605",34.48974,-120.04692,"Santa Barbara",3,"NO2",0.000755857898715042
"606",34.48974,-120.04692,"Santa Barbara",3,"Ozone",0.483645320197044
"607",34.48974,-120.04692,"Santa Barbara",3,"SO2",6.6434147151636e-06
"608",34.48974,-120.04692,"Santa Barbara",4,"CO",0.00531425724250836
"609",34.48974,-120.04692,"Santa Barbara",4,"NO2",0.00355408388520971
"610",34.48974,-120.04692,"Santa Barbara",4,"Ozone",0.541655271680461
"611",34.48974,-120.04692,"Santa Barbara",4,"SO2",4.54619256372788e-05
"612",34.510014,-117.331433,"San Bernardino",1,"CO",0.0116408578698655
"613",34.510014,-117.331433,"San Bernardino",1,"NO2",0.134854876615746
